locus,title,description,function,product
BSU_33320,fhuD,hydroxamate siderophore [wiki|ABC transporter ](only ferrichrome) (binding protein),siderophore uptake,hydroxamate siderophore [wiki|ABC transporter ](only ferrichrome) (binding protein)
BSU_38560,licH,6-phospho-beta-glucosidase,lichenan utilization,6-phospho-beta-glucosidase
BSU_06870,yesE,unknown,unknown,unknown
BSU_27920,obg,GTP-binding protein involved in initiation of sporulation and assembly of the 50S ribosome subunit,ribosome assembly,may be required to stimulate activity
BSU_17220,pksR,polyketide synthase,polyketide synthesis,polyketide synthase
BSU_tRNA_42,trnD-Cys,null,translation,transfer RNA-Cys
BSU_14950,ylbB,putative oxidoreductase,unknown,unknown
BSU_40800,yyaN,similar to transcriptional regulator ([wiki|MerR family]),unknown,unknown
BSU_12960,dppE,dipeptide [wiki|ABC transporter] (dipeptide-binding protein),uptake of dipeptides,dipeptide [wiki|ABC transporter] (dipeptide-binding protein)
BSU_32210,yuzD,unknown,unknown,unknown
BSU_misc_RNA_85,srbL,NA,NA,NA
BSU_36480,ywoD,similar to transporter,unknown,unknown
BSU_13310,tnrA,transcriptional pleiotropic regulator ([wiki|MerR family])  involved in global nitrogen regulation,regulation of nitrogen assimilation,transcription activator/ repressor ([wiki|MerR family])
BSU_30510,ytpA,phospholipase (annotated as a bacilysocin synthase),lipid degradation,phospholipase
BSU_17140,pksF,involved in polyketide synthesis,polyketide synthesis,unknown
BSU_32669,yuzN,similar to transcriptional regulator ([wiki|ArsR family]),unknown,unknown
BSU_16670,ribC,riboflavin kinase / FAD synthase,FAD biosynthesis,riboflavin kinase / FAD synthase
BSU_36739,BSU_36739,NA,NA,NA
BSU_22205,BSU_22205,NA,NA,NA
BSU_27590,dtd,D-aminoacyl-tRNA deacylase,prevention of misincorporation of D-amino acids into proteins,D-aminoacyl-tRNA deacylase
BSU_misc_RNA_77,asrG,NA,NA,NA
BSU_35740,tagD,glycerol-3-phosphate cytidylyltransferase,biosynthesis of teichoic acid,glycerol-3-phosphate cytidylyltransferase
BSU_30060,ytfP,putative NAD(FAD)-utilizing dehydrogenase,unknown,unknown
BSU_00760,pabC,aminodeoxychorismate lyase,biosynthesis of folate,aminodeoxychorismate lyase
BSU_tRNA_75,trnSL-Glu2,null,translation,transfer RNA-Glu
BSU_35860,pgdS,gamma-DL-glutamyl hydrolase,polyglutamic acid degradation,gamma-DL-glutamyl hydrolase
BSU_08760,spo0M,sporulation-control gene,sporulation,unknown
BSU_13690,motA,H<sup>+</sup>-coupled [[protein|86C729C7D5ABEE519ADC4A893940600BBB655EF1]]-[[protein|FE56753D061344B0F10A6523F49C5C7356AA40B6]] flagellar stator,[[category|SW.4.1.1]],flagellar stator subunit
BSU_20930,yopD,unknown,unknown,unknown
BSU_35590,tuaC,sugar transferase,biosynthesis of teichuronic acid,sugar transferase
BSU_12530,xkdC,PBSX prophage,unknown,unknown
BSU_misc_RNA_72,surA,small RNA,NA,NA
BSU_01340,rpmD,ribosomal protein uL30,translation,ribosomal protein L30 (uL30)
BSU_32890,yusQ,similar to acyloate catabolism,unknown,unknown
BSU_04359,ydzK,unknown,unknown,unknown
BSU_30170,ytcP,polygalacturonan and rhamnogalacturonan [wiki|ABC transporter] (permease),uptake of polygalacturonan and rhamnogalacturonan,polygalacturonan and rhamnogalacturonan [wiki|ABC transporter] (permease)
BSU_11670,thiO,FAD-dependent glycine oxidase,biosynthesis of thiamine,glycine oxidase
BSU_35730,tagE,UDP-glucose:polyglycerol phosphate glucosyltransferase,biosynthesis of teichoic acid,UDP-glucose:polyglycerol phosphate glucosyltransferase
BSU_33360,yvgJ,lipoteichoic acid synthesis primase,biosynthesis of lipoteichoic acid,lipoteichoic acid synthesis primase
BSU_rRNA_13,rrnE-5S,5S rRNA,translation,ribosomal RNA-5S
BSU_35140,yvkN,unknown,unknown,unknown
BSU_33140,yvqJ,similar to to macrolide-efflux protein,unknown,unknown
BSU_14800,ylaJ,spore lipoprotein,efficient spore [wiki|germination],unknown
BSU_28160,hemX,negative effector of the concentration of [[protein|B1413EB525000744BE8E429E760220A13BC4530D]],heme biosynthesis,regulatory protein
BSU_29830,ytpQ,unknown,maybe involved in iron homeostasis,unknown
BSU_09900,yhaP,similar to [wiki|ABC transporter] (membrane protein),unknown,[wiki|ABC transporter] (membrane protein)
BSU_05080,yddR,similar to isothiocyanate hydrolase,unknown,unknown
BSU_tRNA_84,trnSL-Arg2,null,translation,transfer RNA-Arg
BSU_tRNA_56,trnB-Gly1,NA,translation,transfer RNA-Gly
BSU_39900,yxbA,putative D-aspartate ligase,unknown,putative D-aspartate ligase
BSU_misc_RNA_15,BSU_misc_RNA_15,null,null,NA
BSU_34900,hisB,imidazoleglycerol-phosphate dehydratase,biosynthesis of histidine,imidazoleglycerol-phosphate dehydratase
BSU_32760,yusD,unknown,unknown,unknown
BSU_11990,yjdB,unknown,unknown,unknown
BSU_11310,comZ,late competence gene,compentence,unknown
BSU_22120,kdgR,transcriptional repressor of the pectin utilization operon ([wiki|LacI family]),regulation of galacturonic acid utilization,transcriptional repressor of the pectin utilization operon ([wiki|LacI family])
BSU_36560,ywnH,phosphinothricin acetyltransferase,unknown,phosphinothricin acetyltransferase
BSU_07480,yfmG,unknown,unknown,unknown
BSU_40610,yybK,similar to [wiki|ABC transporter ](membrane protein),unknown,[wiki|ABC transporter ](membrane protein)
BSU_17710,tatAC,component of the twin-arginine translocation pathway,TAT [wiki|protein secretion],component of the twin-arginine translocation pathway
BSU_14120,abbA,inhibitor of [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]] activity,inhibition of [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]],anti-repressor
BSU_26829,BSU_26829,NA,NA,NA
BSU_04760,ydcG,unknown,unknown,unknown
BSU_24870,yqgP,intramembrane protease,cell division,intramembrane protease
BSU_18160,xynD,arabinoxylan arabinofuranohydrolase,arabinoxylan degradation,arabinoxylan arabinofuranohydrolase
BSU_22110,kdgK,2-dehydro-3-deoxygluconokinase,utilization of galacturonic acid,2-dehydro-3-deoxygluconokinase
BSU_11139,yizC,unknown,unknown,unknown
BSU_26420,yrkQ,two-component sensor kinase,unknown,two-component sensor kinase
BSU_26550,yrkD,unknown,unknown,unknown
BSU_37840,spsI,glucose-1-phosphate thymidylyltransferase,rhamnose biosynthesis,spore crust polysaccharide synthesis
BSU_03630,bsdB,phenolic acid decarboxylase,resistance to salicylic acid,phenolic acid decarboxylase
BSU_tRNA_20,trnJ-Ala,null,translation,transfer RNA-Ala
BSU_15440,ylyA,modulator of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-containing [wiki|RNA polymerase],control of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent [wiki|transcription],modulator of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-containing [wiki|RNA polymerase]
BSU_23070,serA,phosphoglycerate dehydrogenase,biosynthesis of serine,phosphoglycerate dehydrogenase
BSU_19090,yobU,unknown,unknown,unknown
BSU_09490,yhdJ,similar to N-acetyltransferase,unknown,unknown
BSU_08260,yfiG,D-chiro-inositol transport protein,uptake of D-chiro-inositol,D-chiro-inositol transport protein
BSU_23990,brxB,bacilliredoxin,de-bacillithiolation of S-bacillithiolated [[protein|7A3A8AF7728474204396BB7A548F747D28E6FAC7]] and [[protein|23F405D5B849E4EDC1D599F86C71DFD2E55C0305]],bacilliredoxin
BSU_20840,yopM,unknown,unknown,unknown
BSU_18669,yozS,unknown,unknown,unknown
BSU_29410,ytkL,general stress protein,unknown,unknown
BSU_13920,splA,transcriptional repressor of the spore photoproduct lyase splA-splB operon,regulation of the splA-splB operon,transcriptional regulator
BSU_39640,yxdL,[wiki|ABC transporter] (ATP-binding protein),export of toxic peptides,[wiki|ABC transporter] (ATP-binding protein)
BSU_21840,ypjP,unknown,unknown,unknown
BSU_30220,bioF,8-amino-7-oxononanoate synthase,biosynthesis of biotin,8-amino-7-oxononanoate synthase
BSU_36020,alsR,transcriptional activator of the [[gene|AAA45830B9C5428CADFA5551D33B513E9B1B7C8E]]-[[gene|355E70F55A28C6C2C24E8E326EFB673AC303FBEE]] operon,regulation of acetoin synthesis ([[gene|AAA45830B9C5428CADFA5551D33B513E9B1B7C8E]]-[[gene|355E70F55A28C6C2C24E8E326EFB673AC303FBEE]]),transcriptional activator ([wiki|LysR family])
BSU_21560,yokK,unknown,unknown,unknown
BSU_15630,ylnF,probably precorrin-2 dehydrogenase,siroheme biosynthesis,sulfite reduction
BSU_tRNA_13,trnJ-Thr,null,translation,transfer RNA-Thr
BSU_26690,brnQ,branched-chain amino acid transporter,uptake of valine and isoleucine,branched-chain amino acid transporter
BSU_02360,gamA,glucosamine-6-phosphate deaminase,glucosamine utilization,glucosamine-6-phosphate deaminase
BSU_24980,pstC,phosphate [wiki|ABC transporter] (permease),high-affinity phosphate uptake,phosphate [wiki|ABC transporter] (permease)
BSU_22420,panC,pantothenate synthase,biosynthesis of coenzyme A,pantothenate synthase
BSU_24640,tapA,[[protein|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] anchoring/assembly protein,[wiki|biofilm formation],[[protein|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] anchoring/assembly protein
BSU_15080,rpmF,ribosomal protein bL32,translation,ribosomal protein L32 (bL32)
BSU_14930,ctaG,formation of  functional cytochrome C-oxidase (caa3),formation of  functional cytochrome C-oxidase (caa3),unknown
BSU_rRNA_5,rrnA-23S,23S rRNA,translation,ribosomal RNA-23S
BSU_38040,sacA,phosphosucrase,utilization of sucrose,phosphosucrase
BSU_rRNA_3,rrnO-5S,5S rRNA,translation,ribosomal RNA-5S
BSU_21790,trhA,control of membrane homeostasis,control of membrane homeostasis,progestin and AdipoQ receptors (PAQRs) homolog
BSU_23329,ypuC/1,part of the ypuC pseudogene,unknown,unknown
BSU_34010,yvbW,putative leucine permease,unknown,putative leucine permease
BSU_32410,pucH,allantoinase,purine utilization,allantoinase
BSU_27410,alaS,alanine-tRNA synthetase,translation,alanine-tRNA synthetase
BSU_18520,yoxB,general stress protein,unknown,unknown
BSU_38790,yxzE,unknown,unknown,unknown
BSU_10160,yhgE,unknown,unknown,unknown
BSU_26360,yqaD,unknown,unknown,unknown
BSU_00960,yacO,putative 23S rRNA 2'-O-ribose G2251 methyltransferase,rRNA modification,putative 23S rRNA methyltransferase
BSU_37350,sboA,subtilosin A,antimicrobial peptide,subtilosin A
BSU_21280,yomO,unknown,unknown,unknown
BSU_25330,pgpH,c-di-AMP specific phosphodiesterase,control of c-di-AMP homeostasis,c-di-AMP specific phosphodiesterase
BSU_15920,acpA,acyl carrier protein,fatty acid biosynthesis,acyl carrier protein
BSU_09320,yhcY,two-component sensor kinase,unknown,two-component sensor kinase
BSU_23980,artP,high affinity arginine [wiki|ABC transporter] (ATP-binding protein),arginine uptake,high affinity arginine [wiki|ABC transporter] (ATP-binding protein)
BSU_39260,bglH,phospho-beta-glucosidase,salicin utilization,phospho-beta-glucosidase
BSU_08270,yfiH,unknown,unknown,unknown
BSU_14780,ylaH,unknown,unknown,unknown
BSU_24070,buk,butyrate kinase,utilization of branched-chain keto acids,butyrate kinase
BSU_24850,glcK,glucose kinase (D-glucose:ATP),phosphorylation of the free glucose moiety resulting from cleavage of di-and oligosaccharides,glucose kinase (D-glucose:ATP)
BSU_misc_RNA_57,tboTB,NA,NA,NA
BSU_21230,yomT,unknown,unknown,unknown
BSU_16990,tdh,L-threonine dehydrogenase,threonine utilization,L-threonine dehydrogenase
BSU_20150,yosE,unknown,unknown,unknown
BSU_00630,yabR,similar to the C-terminal domain of <i>E. coli</i> polyribonucleotide phosphorylase and to four repeated domains at the N-terminus of <i>E. coli</i> ribosomal protein S1,unknown,unknown
BSU_tRNA_15,trnJ-Leu1,null,translation,transfer RNA-Leu
BSU_05660,ydgI,putative nitroreductase,unknown,unknown
BSU_30830,menF,menaquinone-specific isochorismate synthase,biosynthesis of menaquinone,menaquinone-specific isochorismate synthase
BSU_40100,ahpF,alkyl hydroperoxide reductase (large subunit) / NADH dehydrogenase,resistance against peroxide stress,alkyl hydroperoxide reductase (large subunit) / NADH dehydrogenase
BSU_06030,groEL,chaperonin and co-repressor for [[protein|2E57DFB4162EF0CE759C1FC42C637E1B9E4B2F7E]],protein folding and re-folding,chaperonin
BSU_35510,yvyE,unknown,unknown,unknown
BSU_35010,nagA,N-acetylglucosamine-6-phosphate deacetylase,N-acetylglucosamine utilization,N-acetylglucosamine-6-phosphate deacetylase
BSU_15970,ylxM,putative signal recognition particle (SRP) component,presecretory protein translocation,putative signal recognition particle (SRP) component
BSU_09570,yhdR,similar to aspartate aminotransferase,unknown,unknown
BSU_01420,rpsK,ribosomal protein uS11,translation,ribosomal protein S11 (uS11)
BSU_05550,cotP,inner spore coat protein,resistance of the spore,inner spore coat protein
BSU_20460,pghZ,phage-derived gamma polyglutamic acid hydrolase,polyglutamic acid degradation,phage-derived gamma polyglutamic acid hydrolase
BSU_10240,yhfI,phosphodiesterase,unknown,phosphodiesterase
BSU_22990,ypbF,unknown,unknown,unknown
BSU_21010,yonS,prophage SP beta lipoprotein,unknown,unknown
BSU_38290,thiE,thiamine-phosphate pyrophosphorylase,biosynthesis of thiamine by 4-methyl-5-(beta-hydroxyethyl)thiazole phosphate to yield thiamine phosphate,thiamine-phosphate pyrophosphorylase
BSU_30190,bioI,cytochrome P450 enzyme,biosynthesis of biotin,cytochrome P450 enzyme
BSU_15450,lspA,signal peptidase II,protein secretion,signal peptidase II
BSU_12500,xkdA,PBSX prophage,unknown,unknown
BSU_27680,yrbG,unknown,unknown,unknown
BSU_07040,yesV,unknown,unknown,unknown
BSU_20580,yoqM,unknown,unknown,unknown
BSU_28430,sdhB,succinate dehydrogenase,TCA cycle,succinate dehydrogenase (iron-sulfur protein)
BSU_30410,ytrF,[wiki|ABC transporter]  (substrate-binding lipoprotein),unknown,[wiki|ABC transporter]  (substrate-binding lipoprotein)
BSU_21229,youA,unknown,unknown,unknown
BSU_18100,parC,subunit of DNA topoisomerase IV,chromosome segregation and compaction,resolution of head-on [[category|SW.3.1.1]]-[[category|SW.3.2.1]] conflicts
BSU_16170,codY,regulation of a large regulon (more than 100 genes and operons) in response to branched-chain amino acid limitation,regulation of a large regulon in response to branched-chain amino acid limitation,transcriptional pleiotropic repressor
BSU_21780,yplP,transcriptional activator (for [[protein|1118A21CC581B0470EC6E7C178F2523CDCA70F93]]-dependent promoter),required for survival at low temperatures,transcriptional activator (for [[protein|1118A21CC581B0470EC6E7C178F2523CDCA70F93]]-dependent promoter)
BSU_36420,spoIIID,transcriptional regulator (repressor or activator) of a subset of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2|sigma E]]-dependent genes,regulation of mother cell gene expression,transcriptional regulator
BSU_17266,ymzE/1,part of the ymzE pseudogene,unknown,unknown
BSU_10610,yhjR,inner spore coat protein,protection of the spore,spore coat protein
BSU_22849,ypzH,unknown,unknown,unknown
BSU_29280,ytnM,unknown,unknown,unknown
BSU_34070,yvfT,two-component sensor kinase,unknown,two-component sensor kinase
BSU_10560,ntdR,transcription activator of the [[gene|2F850E2DFA6287DB3890243803E06FDE7ACDB10E]]-[[gene|A4DE6C394B64813A732255734758403241FFAC2F]]-[[gene|29DAF5343A42EAD8DB97925FE7D049410F7B7FCA]]-[[gene|glcP ]]operon,regulation of the [[gene|2F850E2DFA6287DB3890243803E06FDE7ACDB10E]]-[[gene|A4DE6C394B64813A732255734758403241FFAC2F]]-[[gene|29DAF5343A42EAD8DB97925FE7D049410F7B7FCA]]-[[gene|glcP ]]operon,transcriptional regulator ([wiki|LacI family])
BSU_35760,tagB,putative CDP-glycerol:glycerol phosphate glycerophosphotransferase,biosynthesis of teichoic acid,putative CDP-glycerol:glycerol phosphate glycerophosphotransferase
BSU_25030,yqgC,unknown,unknown,unknown
BSU_13600,mtnX,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,methionine salvage,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
BSU_14340,yknW,modulates assembly of the [[protein|FD270195901B89DAAAD134DB9DE729670A9BDECF]]-[[protein|FE3A01BEA974C5E32C68DC600C800E5EF101B34F]]-[[protein|9680326BAA94A503E2A5C6F0A2479AE0B0467B4C]] [wiki|ABC transporter] for the export of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin,resistence against [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin,modulator of [wiki|ABC transporter] assembly
BSU_36920,ywlF,ribose-5-phosphate isomerase,pentose phosphate pathway,ribose-5-phosphate isomerase
BSU_25040,yqgB,unknown,unknown,unknown
BSU_33350,yvsG,unknown,unknown,unknown
BSU_20220,yorX,unknown,unknown,unknown
BSU_25950,yqcC,similar to phage-related protein,unknown,unknown
BSU_25540,gpr,germination protease (degradation of SASPs),degradation of SASPs,germination protease (degradation of SASPs)
BSU_17620,yncB,similar to micrococcal nuclease,unknown,unknown
BSU_08850,ssuC,aliphatic sulfonate [wiki|ABC transporter] (permease),sulfonate uptake,aliphatic sulfonate [wiki|ABC transporter] (permease)
BSU_misc_RNA_5,glmS ribozyme,[[gene|4E23D2043D51C587027ABBF6335F148295E90B8F]] ribozyme,NA,NA
BSU_29150,ytwI,unknown,unknown,unknown
BSU_06811,yezG,antitoxin,inhibition of the cytotoxic activity of [[protein|655C07294D3A04763049D6701A7296BB4AF8E6B9]],antitoxin
BSU_31170,iolU,minor NADP-dependent scyllo-inositol dehydrogenase,utilization of scyllo-inosose,minor NADP-dependent scyllo-inositol dehydrogenase
BSU_15690,yloH,omega subunit of [wiki|RNA polymerase],unknown,omega subunit of [wiki|RNA polymerase]
BSU_36980,ywlA,unknown,unknown,unknown
BSU_24260,yqxC,similar to rRNA methyltransferase,unknown,putative rRNA methyltransferase
BSU_06140,gutR,transcription activator of the gutB-gutP operon,regulation of glucitol utilization,transcription activator
BSU_misc_RNA_86,srlX,NA,NA,NA
BSU_15610,ylnD,probable uroporphyrin-III C-methyltransferase,siroheme biosynthesis,sulfite reduction
BSU_tRNA_77,trnSL-Tyr1,null,translation,transfer RNA-Tyr
BSU_rRNA_20,rrnB-23S,23S rRNA,translation,ribosomal RNA-23S
BSU_17840,fosB,bacillithiol-S-transferase; confers resistence against antimicrobial compounds from <i>B. amyloliquefaciens</i>,confers resistence against antimicrobial compounds from <i>B. amyloliquefaciens</i>,fosfomycin resistance protein
BSU_22930,sleB,spore cortex-lytic enzyme,degration of the spore cortex,[wiki|germination]
BSU_13710,ykvI,unknown,unknown,unknown
BSU_23800,proI,pyrroline-5-carboxylate reductase,biosynthesis of proline,pyrroline-5-carboxylate reductase
BSU_09010,yhcA,c-di-AMP exporter,secretion of cyclic di-AMP,c-di-AMP exporter
BSU_14660,ykzI,general stress protein,unknown,unknown
BSU_15620,sirB,sirohydrochlorin ferrochelatase,siroheme biosynthesis,sulfite reduction
BSU_14640,yktA,unknown,unknown,unknown
BSU_20120,yosH,unknown,unknown,unknown
BSU_28600,yshB,unknown,unknown,unknown
BSU_06200,ydjH,required for membrane localization of [[protein|CA4EF8385EAA4BBC47FF0D998C820D9F36F5F94D]] and [[protein|3B6F4FBB19401069E827EAF5835DD15AAA3C3487]] upon stress,targeting of [[protein|3B6F4FBB19401069E827EAF5835DD15AAA3C3487]],unknown
