old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD0728,CD630_07280,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, subunit alpha/beta",,3.5.0,1,not significant,not significant,-0.4195,not detected
CD0729,CD630_07290,Glycine cleavage system H protein,gcvH,3.4.2,6,not significant,not significant,-0.1071,detected
CD0730,CD630_07300,putative iron-sulfur protein,,3.5.3,1,not significant,not significant,-0.4384,not detected
CD0731,CD630_07310,putative radical SAM superfamily protein,,3.3.16,7,not significant,not significant,not detected,not detected
CD0732,CD630_07320,putative radical SAM superfamily protein,,3.3.16,7,not significant,not significant,not detected,not detected
CD0733,CD630_07330,putative biotin/lipoate-protein ligase,,3.2.0,7,not significant,not significant,not detected,not detected
CD0734,CD630_07340,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.3299,not detected
CD0735,CD630_07350,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.5633,not detected
CD0736,CD630_07360,uncharacterised protein,,7.0.0,13,not significant,not significant,-0.9909,not detected
CD0737,CD630_07370,Histidinol-phosphatase (HolPase),hisK,3.1.10,7,not significant,not significant,not detected,not detected
CD0738,CD630_07380,putative exported protein,,4.1.7,3,not significant,not significant,not detected,not detected
CD0739,CD630_07390,putative exported protein,,4.1.7,3,not significant,not significant,not detected,not detected
CD0740,CD630_07400,putative pyridoxal phosphate-dependent aminotransferase,,3.3.20,7,not significant,not significant,not detected,not detected
CD0741,CD630_07410,Glycerol kinase (GK),glpK1,3.3.8,7,not significant,not significant,not detected,not detected
CD0742,CD630_07420,putative ethanolamine transporter,,1.5.1,3,not significant,not significant,not detected,not detected
CD0743,CD630_07430,"Transcriptional regulator, DeoR family",,6.3.10,9,not significant,not significant,not detected,not detected
CD0744,CD630_07440,putative MotA/TolQ/ExbB proton channel,,1.1.1,0,0.0015,-1.1695,not detected,not detected
CD0745,CD630_07450,putative OmpA/MotB proton channel,,1.1.1,0,2.46E-05,-1.0893,not detected,not detected
CD0746,CD630_07460,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0747,CD630_07470,putative lipoprotein,,4.1.7,3,not significant,not significant,0.1745,not detected
CD0748,CD630_07480,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,0.2375,not detected
CD0749,CD630_07490,"putative DNA helicase, UvrD/REP type",,2.2.3,2,not significant,not significant,not detected,not detected
CD0750,CD630_07500,"ABC-type transport system, aminoacid-family extracellular solute-binding protein",,1.5.1,3,not significant,not significant,-0.5571,not detected
CD0751,CD630_07510,"ABC-type transport system, aminoacid-family permease",,1.5.1,3,not significant,not significant,not detected,not detected
CD0752,CD630_07520,"ABC-type transport system, aminoacid-family ATP-binding protein",,1.5.1,3,not significant,not significant,-0.3418,not detected
CD0753,CD630_07530,Cysteine desulfurase,iscS1,3.3.20,7,not significant,not significant,0.1414,not detected
CD0754,CD630_07540,Thiamine biosynthesis protein ThiI,thiI,3.2.14,7,not significant,not significant,0.4597,not detected
CD0755,CD630_07550,putative cell surface protein,,5.1.5,0,not significant,not significant,not detected,not detected
CD0756,CD630_07560,putative nitroreductase,,7.0.0,13,not significant,not significant,-0.8493,not detected
CD0757,CD630_07570,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0758,CD630_07580,Pyruvate formate-lyase activating enzyme,pflA,3.5.2,1,0.0004,1.0764,0.6097,not detected
CD0759,CD630_07590,Formate acetyltransferase (Pyruvate formate-lyase),plfB,3.5.2,1,6.08E-21,1.6578,0.8873,detected
CD0760,CD630_07600,putative Ca2+/Na+ antiporter,,1.5.2,3,6.94E-05,-1.2248,not detected,not detected
CD0761,CD630_07610,putative ATP-dependent RNA helicase,,2.2.11,2,not significant,not significant,-0.1073,detected
CD0762,CD630_07620,"Transcription antiterminator, PTS operon regulator",srlR,6.5.0,9,not significant,not significant,not detected,not detected
CD0763,CD630_07630,Sorbitol operon activator protein (Glucitol),srlM,6.5.0,9,not significant,not significant,not detected,not detected
CD0764,CD630_07640,"PTS system, sorbitol-specific IIC component (Glucitol)",srlA,1.5.3,3,not significant,not significant,not detected,not detected
CD0765,CD630_07650,"PTS system, sorbitol-specific IIB N-terminal component (Glucitol)",srlEa,1.5.3,3,not significant,not significant,0.3188,not detected
CD0766,CD630_07660,"PTS system, sorbitol-specific IIB C-terminal component (Glucitol)",srlEb,1.5.3,3,not significant,not significant,not detected,not detected
CD0767,CD630_07670,"PTS system, sorbitol-specific IIA component (Glucitol)",srlB,1.5.3,3,not significant,not significant,0.2041,not detected
CD0768,CD630_07680,Sorbitol 6-phosphate 2-dehydrogenase (Glucitol),srlD,3.4.3,6,not significant,not significant,0.379,not detected
CD0769,CD630_07690,putative oxidoreductase subunit,,3.5.3,1,not significant,not significant,not detected,not detected
CD0770,CD630_07700,Anti-sigma F factor antagonist,spoIIAA,6.1.2,0,1.75E-05,-2.091,-1.9345,not detected
CD0771,CD630_07710,Anti-sigma F factor (Stage II sporulation protein AB),spoIIAB,6.1.2,0,1.76E-08,-1.5535,-1.5755,not detected
CD0772,CD630_07720,RNA polymerase sigma-F factor,sigF,6.2.1,0,1.15E-08,-1.5691,not detected,not detected
CD0773,CD630_07730,Stage V sporulation protein AC,spoVAC,1.8.1,0,not significant,not significant,not detected,not detected
CD0774,CD630_07740,Stage V sporulation protein AD,spoVAD,1.8.1,0,not significant,not significant,not detected,detected
CD0775,CD630_07750,Stage V sporulation protein AE,spoVAE,1.8.1,0,not significant,not significant,not detected,not detected
CD0776,CD630_07760,"Transcriptional regulator, LacI family",,6.3.5,9,not significant,not significant,-0.656,not detected
CD0777,CD630_07770,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0778,CD630_07780,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0779,CD630_07790,"putative amidohydrolase, M20D peptidase family",,2.1.4,5,not significant,not significant,0.5045,not detected
CD0780,CD630_07800,"conserved hypothetical protein, DUF1177 family",,0.0.2,10,not significant,not significant,0.3411,not detected
CD0781,CD630_07810,putative penicillin-binding protein,,1.4.3,0,not significant,not significant,-0.03,detected
CD0782,CD630_07820,putative sporulation protein YunB,yunB,1.8.1,0,not significant,not significant,not detected,not detected
CD0783,CD630_07830,"Stage IV sporulation protein SpoIVB, S55 peptidase family",spoIVB2,1.8.1,0,not significant,not significant,not detected,not detected
CD0784,CD630_07840,putative N-acetylmuramoyl-L-alanine amidase,,4.1.9,3,not significant,not significant,not detected,not detected
CD0785,CD630_07850,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,0.2362,not detected
CD0786,CD630_07860,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0787,CD630_07870,putative metal-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD0788,CD630_07880,"putative GTP-binding protein, HflX type",,7.0.0,13,3.86E-05,-0.9684,0.0724,not detected
CD0789,CD630_07890,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not significant,not detected
CD0790,CD630_07900,"putative hydrolase, NUDIX family",,3.4.0,6,not significant,not significant,-0.5218,not detected
CD0791,CD630_07910,"conserved hypothetical protein, UPF0029 family",,0.0.2,10,not significant,not significant,0.2653,not detected
CD0792,CD630_07920,"putative membrane protein, DUF81 family",,4.1.6,3,not significant,not significant,not detected,not detected
CD0793,CD630_07930,"putative membrane protein, DUF81 family",,4.1.6,3,not significant,not significant,not detected,not detected
CD0794,CD630_07940,NH3-dependent NAD(+) synthetase,nadE,3.2.11,7,not significant,not significant,0.2156,not detected
CD0795,CD630_07950,probable transcriptional regulatory protein,,6.5.0,9,not significant,not significant,-0.0096,detected
CD0796,CD630_07960,"Transcriptional regulator, LacI family",,6.3.5,9,not significant,not significant,-0.1071,not detected
CD0797,CD630_07970,putative pyruvate carboxyltransferase,,3.5.4,1,not significant,not significant,not detected,not detected
CD0798,CD630_07980,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0799,CD630_07990,"putative beta-alanine CoA-transferase, family III",,3.5.4,1,not significant,not significant,not detected,not detected
CD0800,CD630_08000,3-hydroxybutyryl-CoA dehydratase (Crotonase),crt1,3.5.4,1,not significant,not significant,not detected,not detected
CD0801,CD630_08010,"putative permease, divalent anion symporter family",,1.5.5,3,not significant,not significant,not detected,not detected
CD0802,CD630_08020,"putative CoA-transferase, family III",,3.5.4,1,not significant,not significant,not detected,not detected
CD0803,CD630_08030,putative acyl-CoA dehydrogenase,,3.5.4,1,not significant,not significant,not detected,not detected
CD0804,CD630_08040,"Electron transfer flavoprotein beta-subunit,core",etfB2,3.5.4,1,not significant,not significant,not detected,not detected
CD0805,CD630_08050,Electron transfer flavoprotein alpha-subunit,etfA2,3.5.4,1,not significant,not significant,not detected,not detected
CD0806,CD630_08060,"Transcriptional regulator, sigma-54-dependent",,6.5.0,9,not significant,not significant,not detected,not detected
CD0807,CD630_08070,uncharacterised protein,,7.0.0,13,not significant,not significant,0.0927,detected
CD0808,CD630_08080,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0809,CD630_08090,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0810,CD630_08100,putative flavodoxin/nitric oxide synthase,,3.5.3,1,not significant,not significant,-0.2829,detected
CD0811,CD630_08110,putative signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0812,CD630_08120,putative universal stress protein A (UspA),,1.6.1,0,not significant,not significant,0.1057,detected
CD0813,CD630_08130,"putative PTS system, IIB component",,1.5.3,3,not significant,not significant,-0.2541,not detected
CD0814,CD630_08140,"Transcriptional regulator, GntR family",,6.3.3,9,not significant,not significant,not detected,not detected
CD0815,CD630_08150,"Transporter, Major Facilitator Superfamily (MFS)",,1.5.5,3,not significant,not significant,not detected,not detected
CD0816,CD630_08160,"PTS system, beta-glucoside-specific IIABC component, bglF1",bglF1,1.5.3,3,1.75E-05,-1.0203,not detected,not detected
CD0817,CD630_08170,Transposase-like protein B,tlpB1,5.1.4,12,not significant,not significant,not detected,not detected
CD0818,CD630_08180,6-phospho-beta-glucosidase,,3.4.3,6,0.0021,-0.74,0.0085,not detected
CD0819,CD630_08190,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,not detected,not detected
CD0820,CD630_08200,Two-component response regulator,,6.1.2,9,0.0069,-0.7554,not detected,not detected
CD0821,CD630_08210,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0822,CD630_08220,"ABC-type transport system, multidrug-family ATP-binding protein",,1.4.1,0,not significant,not significant,not detected,not detected
CD0823,CD630_08230,"ABC-type transport system, multidrug-family permease",,1.4.1,0,not significant,not significant,not detected,not detected
CD0824,CD630_08240,"ABC-type transport system, multidrug-family permease",,1.4.1,0,not significant,not significant,not detected,not detected
CD0825,CD630_08250,Rubrerythrin,rbr,1.4.2,0,not significant,not significant,-0.0645,detected
CD0826,CD630_08260,putative ferric-uptake regulator,,6.5.0,9,not significant,not significant,-0.0717,not detected
CD0827,CD630_08270,Rubredoxin oxidoreductase (desulfoferrodoxin),rbo,1.4.2,0,not significant,not significant,0.0868,not detected
CD0828,CD630_08280,putative oxidative stress glutamate synthase,,1.4.2,0,not significant,not significant,0.1039,not detected
CD0829,CD630_08290,putative metallo-beta-lactamase superfamily protein,,1.4.3,0,not significant,not significant,0.4518,not detected
CD0830,CD630_08300,putative membrane protein,,4.1.6,3,not significant,not significant,0.1716,not detected
CD0831,CD630_08310,putative ATP-dependent RNA helicase,,2.2.11,2,not significant,not significant,0.0304,not detected
CD0832,CD630_08320,Trans-homoaconitate synthase,aksA,3.3.15,7,not significant,not significant,-0.6172,not detected
CD0833,CD630_08330,Aconitate hydratase (Citrate hydro-lyase),acnB,3.3.0,7,not significant,not significant,-0.5758,not detected
CD0834,CD630_08340,Isocitrate dehydrogenase NAD-dependent,icd,3.3.21,7,not significant,not significant,-0.7549,not detected
CD0835,CD630_08350,"Transcriptional regulator, MarR family",,6.3.7,9,not significant,not significant,-0.0369,not detected
CD0836,CD630_08360,putative acetyltransferase,,7.0.0,13,not significant,not significant,0.2786,not detected
CD0837,CD630_08370,putative nitroreductase,,7.0.0,13,not significant,not significant,-0.4592,not detected
CD0838,CD630_08380,putative DNA-binding protein,,7.0.0,13,not significant,not significant,-2.1541,not detected
CD0839,CD630_08390,putative membrane protein,,4.1.6,3,0.0081,-0.6946,not detected,not detected
